ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,Tail_Number,TaxiIn,TaxiOut,Reporting_Airline,WeatherDelay,Year,FlightDate,DayOfMonth,Quarter,Route,Carrier_Route,Is_DepDelayed,Is_DepDelayed_15min,Is_ArrDelayed,Is_ArrDelayed_15min,TimeOfDay,Carrier_Name,Delay_Category,TaxiOut_Airport_Median,TaxiOut_Deviation,TaxiOut_Efficiency_Score,TaxiIn_Airport_Median,TaxiIn_Deviation,TaxiIn_Efficiency_Score,Total_Taxi_Time,Total_Taxi_Expected,Total_Taxi_Deviation,Expected_AirTime,AirTime_Deviation,AirTime_Efficiency_Score,Elapsed_Time_Deviation,Schedule_Adherence_Score,Operational_Efficiency_Score,DepDelay_Category,ArrDelay_Category,Delay_Recovery,Recovery_Rate,Made_Up_Time,Total_Delay_Attributed,CarrierDelay_Pct,WeatherDelay_Pct,NASDelay_Pct,SecurityDelay_Pct,LateAircraftDelay_Pct,Is_Cascade_Victim,Cascade_Contribution_Pct,Prev_Flight_ArrDelay,Prev_Flight_Dest,Is_Valid_Rotation,Prev_Flight_ArrTime,Turnaround_Time,Turnaround_Minutes,Is_Quick_Turnaround,Is_Tight_Turnaround,Incoming_Delay_Risk,Cascade_Risk_Score,Daily_Flight_Sequence,Cumulative_Delay,Is_Weekend,Is_Holiday_Season,Is_Peak_Season,Week_Of_Month,Route_Avg_ArrDelay,Route_Std_ArrDelay,Route_Flight_Count,Route_Delay_Rate,Carrier_Avg_ArrDelay,Carrier_Std_ArrDelay,Carrier_Delay_Rate,Carrier_Avg_Efficiency,Origin_Avg_TaxiOut,Origin_Std_TaxiOut,Origin_Avg_DepDelay,Dest_Avg_TaxiIn,Dest_Std_TaxiIn,Dest_Avg_ArrDelay
86.0,,7.0,747.0,740,621,79.0,nan,0,0.0,3,1,0.0,621.0,ORD,409.0,0,282,0.0,10,0.0,BNA,0.0,nan,7.0,10.0,UA,0.0,1987,1987-10-01,1,4,BNA-ORD,UA_BNA-ORD,0,0,1,0,Night,United Air Lines Inc.,On-time,10.0,0.0,1.0,7.0,0.0,1.0,17.0,17.0,0.0,49.08,,,7.0,0.9113924050632911,0.9704641350210971,OnTime,Minor,-7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0,,,,0,0,0.0,,1,7.0,0,0,0,1,8.9438202247191,32.2216268313679,534,0.2018181818181818,8.57450984128194,33.69243437235446,0.20679164534586222,0.8128211376810331,10.708900074970547,5.631412753267315,6.828750811864039,7.541140352499491,5.293421513912155,9.485853117288084
34.0,,1.0,724.0,723,650,33.0,nan,0,0.0,3,1,0.0,650.0,PIT,109.0,0,222,0.0,10,0.0,ERI,0.0,nan,6.0,7.0,US,0.0,1987,1987-10-01,1,4,ERI-PIT,US_ERI-PIT,0,0,1,0,Night,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),On-time,7.0,0.0,1.0,6.0,0.0,1.0,13.0,13.0,0.0,13.08,,,1.0,0.9696969696969697,0.98989898989899,OnTime,Minor,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,ORD,0,747.0,,,0,0,7.0,,2,8.0,0,0,0,1,3.893491124260355,21.950171227263148,169,0.10857142857142857,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,7.559471365638767,3.603063554247462,2.8009049773755654,6.074454810149147,2.178586444204279,6.399051902273004
39.0,,-2.0,731.0,733,655,38.0,nan,0,0.0,3,1,-3.0,652.0,ISP,139.0,0,287,0.0,10,0.0,ALB,0.0,nan,4.0,10.0,US,0.0,1987,1987-10-01,1,4,ALB-ISP,US_ALB-ISP,0,0,0,0,Night,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),Early (<15min),10.0,0.0,1.0,4.0,0.0,1.0,14.0,14.0,0.0,16.68,,,1.0,0.9736842105263158,0.9912280701754387,OnTime,OnTime,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,PIT,0,724.0,,,0,0,1.0,,3,6.0,0,0,0,1,8.733333333333333,7.8782400741959275,15,0.13333333333333333,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,11.322921063739974,7.538638236696558,7.6338633433605505,3.9871601208459215,1.7166609915707394,5.69743987587277
234.0,,4.0,1254.0,1250,700,230.0,nan,0,0.0,3,1,0.0,700.0,IND,1814.0,0,22,0.0,10,0.0,LAX,0.0,nan,7.0,14.0,US,0.0,1987,1987-10-01,1,4,LAX-IND,US_LAX-IND,0,0,1,0,Morning,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),On-time,14.0,0.0,1.0,7.0,0.0,1.0,21.0,21.0,0.0,217.68,,,4.0,0.9826086956521739,0.9942028985507246,OnTime,Minor,-4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-2.0,ISP,0,731.0,,,0,0,0.0,,4,10.0,0,0,0,1,-0.4778761061946903,21.990297107528367,113,0.16666666666666666,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,14.560240236614957,6.401823781901226,8.139404176904177,7.400672885762349,2.965959547158085,7.080161565946869
112.0,,17.0,852.0,835,700,95.0,nan,0,0.0,3,1,0.0,700.0,PHX,621.0,0,1125,0.0,10,0.0,SJC,0.0,nan,5.0,11.0,HP,0.0,1987,1987-10-01,1,4,SJC-PHX,HP_SJC-PHX,0,0,1,1,Morning,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),Minor (15-45),11.0,0.0,1.0,5.0,0.0,1.0,16.0,16.0,0.0,74.52,,,17.0,0.8210526315789474,0.9403508771929824,OnTime,Moderate,-17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,IND,0,1254.0,,,0,0,4.0,,5,27.0,0,0,0,1,2.0372168284789645,16.983171383215723,618,0.104,7.623309522158263,26.365416248467547,0.18786205956518776,0.8121895897656146,11.90566248880931,5.389781555220032,5.9125453720508165,5.564106204742298,3.9803180189806944,6.107809633440052
69.0,,7.0,809.0,802,700,62.0,nan,0,0.0,3,1,0.0,700.0,MEM,324.0,0,862,0.0,10,0.0,GPT,0.0,nan,5.0,10.0,NW,0.0,1987,1987-10-01,1,4,GPT-MEM,NW_GPT-MEM,0,0,1,0,Morning,Northwest Airlines Inc.,On-time,10.0,0.0,1.0,5.0,0.0,1.0,15.0,15.0,0.0,38.88,,,7.0,0.8870967741935484,0.9623655913978495,OnTime,Minor,-7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,PHX,0,852.0,,,0,0,17.0,,6,34.0,0,0,0,1,3.6049382716049383,27.451174388514637,81,0.10843373493975904,5.521156671728957,32.633066746631066,0.1761806635093935,0.7782980408974326,10.526455026455027,5.258877917284295,9.491847826086957,5.4977786752827145,2.5419027177535516,3.9403598971722364
121.0,,11.0,806.0,755,705,110.0,nan,0,0.0,3,1,0.0,705.0,MEM,683.0,0,991,0.0,10,0.0,MCO,0.0,nan,5.0,12.0,NW,0.0,1987,1987-10-01,1,4,MCO-MEM,NW_MCO-MEM,0,0,1,0,Morning,Northwest Airlines Inc.,On-time,12.0,0.0,1.0,5.0,0.0,1.0,17.0,17.0,0.0,81.96000000000001,,,11.0,0.9,0.9666666666666667,OnTime,Minor,-11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,MEM,0,809.0,,,0,0,7.0,,7,45.0,0,0,0,1,0.2602040816326531,16.494556925339502,196,0.1,5.521156671728957,32.633066746631066,0.1761806635093935,0.7782980408974326,13.157970560601315,6.542115350191362,8.036082800531746,5.4977786752827145,2.5419027177535516,3.9403598971722364
34.0,,-4.0,742.0,746,710,36.0,nan,0,0.0,3,1,-2.0,708.0,PIT,105.0,0,348,0.0,10,0.0,CLE,0.0,nan,6.0,13.0,US,0.0,1987,1987-10-01,1,4,CLE-PIT,US_CLE-PIT,0,0,0,0,Morning,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),Early (<15min),13.0,0.0,1.0,6.0,0.0,1.0,19.0,19.0,0.0,12.6,,,-2.0,0.9444444444444444,0.9814814814814815,OnTime,OnTime,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,MEM,0,806.0,,,0,0,11.0,,8,41.0,0,0,0,1,7.900497512437811,30.07291222597579,201,0.12745098039215685,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,14.829596021289591,8.189691521068417,6.174944665781319,6.074454810149147,2.178586444204279,6.399051902273004
106.0,,-10.0,800.0,810,715,115.0,nan,0,0.0,3,1,-1.0,714.0,ORD,594.0,0,319,0.0,10,0.0,MDT,0.0,nan,7.0,10.0,AA,0.0,1987,1987-10-01,1,4,MDT-ORD,AA_MDT-ORD,0,0,0,0,Morning,American Airlines Inc.,Early (<15min),10.0,0.0,1.0,7.0,0.0,1.0,17.0,17.0,0.0,71.28,,,-9.0,0.9217391304347826,0.9739130434782609,OnTime,OnTime,9.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-4.0,PIT,0,742.0,,,0,0,0.0,,9,31.0,0,0,0,1,5.773936170212766,35.20014335480158,376,0.18298969072164947,6.787607124852966,34.03359665999102,0.18858275161770388,0.8128656446004391,11.236542835481425,7.3144315865964495,4.746875,7.541140352499491,5.293421513912155,9.485853117288084
90.0,,-16.0,848.0,904,720,104.0,nan,0,0.0,3,1,-2.0,718.0,BHM,584.0,0,550,0.0,10,0.0,ORD,0.0,nan,3.0,16.0,UA,0.0,1987,1987-10-01,1,4,ORD-BHM,UA_ORD-BHM,0,0,0,0,Morning,United Air Lines Inc.,Early (>15min),16.0,0.0,1.0,3.0,0.0,1.0,19.0,19.0,0.0,70.08,,,-14.0,0.8653846153846154,0.9551282051282052,OnTime,OnTime,14.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-10.0,ORD,1,800.0,2318.0,1398.0,0,0,0.0,0.0002859185132237313,10,15.0,0,0,0,1,8.080808080808081,31.12767545018707,99,0.23,8.57450984128194,33.69243437235446,0.20679164534586222,0.8128211376810331,17.659090060139704,10.87968122888779,11.478811110683052,3.3902894491129785,2.1777043729279075,6.141417322834646
